count = 1;< 20;count++;result;
1;1 < 20 = TRUE;1+1 = 2;?;
2;2 < 20 = TRUE;2+1 = 3;?;
3;3 < 20 = TRUE;3+1 = 4;?;
4;4 < 20 = TRUE;4+1 = 5;?;
20;20<20 = FALSE;---------;1,2,3,4,5...20;
;;;;
count = 1;< 20;count %2 == 0;count ++;result
1;1 < 20 = TRUE;1%2 == 0 FALSE;1+1 = 2;?
2;2 < 20 = TRUE;2%2 == 0 TRUE;2+1 = 3;?
3;3 < 20 = TRUE;3%2 == 0 FALSE;3+1 = 4;?
4;4 < 20 = TRUE;4%2 == 0 TRUE;4+1=5;?
20;20 < 20 = FALSE;20%20 == 0 TRUE;------;2,4,6,8,10...20
;;;;
"count =1 ";< 20;count%2 ==1;count ++;result
1;1 < 20 = TRUE;1%2 ==1 TRUE;1+1=2;?
2;2 < 20 = TRUE;2%2 ==1 FALSE;2+1=3;?
3;3 < 20 = TRUE;3%2 ==1 TRUE;3+1=4;?
4;4 < 20 = TRUE;4%2 ==1 FALSE;4+1=5;?
20;20 < 20 = FALSE;20%2 ==1 FALSE;------;1,3,5,7,9...19
;;;;
count = 5;< 100;count++;result;
5;1 < 100 = TRUE;5+5 = 10;?;
10;10<100 = TRUE;10+5 = 15;?;
15;15<100 = TRUE;15+5 = 20;?;
20;20<100 = TRUE;20+5 = 25;?;
100;100<100=FALSE;------;5,10,15,20...100;
;;;;
count = 20;> 1;count--;result;
20;20 > 1 = TRUE;20-1 = 19;?;
19;19 > 1 = TRUE;19-1 = 18;?;
18;18 > 1 = TRUE;18-1 = 17;?;
17;17 > 1 = TRUE;17-1 = 16;?;
1;1 > 1 = FALSE;------;20,19,18,17...1;
;;;;
count = 1;< 10;count*count;count++;result
1;1 <10 = TRUE;1*1 = 1;1+1 = 2;
2;2 < 10 = TRUE;2*2 = 4;2+1 = 3;
3;3 < 10 = TRUE;3*3 = 9;3+1 = 4;
4;4 < 10 = TRUE;4*4 = 16;4+1 = 5;
10;10 < 10 = FALSE;100;------;1,4,9,16,25...100
;;;;
count = 20;> 1;count%2==1;count--;resultado
20;20 > 1 = TRUE;20%2==1 FALSE;20-1 = 19;?
19;19 > 1 = TRUE;19%2==1 TRUE;19-1 = 18;?
18;18 > 1 = TRUE;18%2==1 FALSE;18-1 = 17;?
17;17 > 1 = TRUE;17%2==1 TRUE;17-1 = 16;?
1;1 > 1 = FALSE;1%2==1 TRUE;------;19,17,15...1
;;;;
count = 100;> 5;count -=5;result;
100;100 > 5  = TRUE;100-5 = 95;?;
95;95 > 5 = TRUE;95-5 = 90;?;
90;90 > 5 = TRUE;90-5 = 85;?;
85;85 > 5 = TRUE;85-5 = 80;?;
5;5 > 5 = FALSE;5;100,95,90,85...1;
;;;;
count = 10;> 1;count*count;count--;result
10;10 > 1 = TRUE;10*10 = 100;10-1 = 9;?
9;9 > 1 = TRUE;9*9 = 81;9-1 = 8;?
8;8 > 1 = TRUE;8*8 = 64;8-1 = 7;?
7;7 > 1 = TRUE;7*7 = 49;7-1 = 6;?
1;1 > 1 = FALSE;1;------;100,81,64,49...1
