string;value;maxValue;Value ++;value % 2 ! == 0;value % 5 === 0;%2!==0&&&5===0;console.log
"""""";1;;2;true;false;false;snap
;2;;3;false;false;false;2
;3;;4;true;false;false;snap
;4;;5;false;false;false;4
;5;;6;---------;true;false;crackle
;6;;7;false;false;false;6
;7;;8;true;false;false;snap
;8;;9;false;false;false;8
;9;;10;true;false;false;snap
;10;;11;---------;true;false;crackle
;11;;12;true;false;false;snap
;12;;13;false;false;false;12
;13;;14;true;false;false;snap
;14;;15;false;false;false;14
;15;;16;-----------;----------------;true;snapCrackle
